,ratings,location,date,pro,con,up_vote,down_vote,message
3551,4.0,"Salina, KS",2017-11-30,,,,,use an app on my phone for all UBER communication. i mainly take clients to and from bars to bars or bars to home. i make sure they are in the house before i leave.
3552,2.0,"Providence, RI",2017-11-29,flexible hours,"unfair pay, stressful",2,1,Rather work for grocery store than Uber. Unfair pay and very deceptive.  It take atlas 40%-60% off from the fare riders pays. the money you make is not even enough to cover your operating cost.
3553,4.0,"King of Prussia, PA",2017-11-28,Make your own money and control how much you make.,Drive your own car.,2,2,I've worked for a taxi company for years so.....I already knew what to do and how this works. I enjoyed driving for this company. I'd start out in Philadelphia area and then go where ever the client wanted to go. You'd get more jobs in Philadelphia area because of how many people live there.
3554,1.0,"Cleveland, OH",2017-11-27,Great riders(most of time),"Poor company support, poor pay, long hours",2,,"After driving over 1 year and maintaining a 4.92 out of 5 rating, I received 2 complaints in same month that I supposedly stated something derogatory to my riders. Since I have been in customer service over 30 years, I understand the principle that ""the customer is always right."" These complaints were cause for instant deactivation, and I do not even know what I supposedly stated that was so offensive and derogatory. I was constantly communicating to support because my pay statements were incorrect. The only way I was to overcome fuel and vehicle maintenance (2013 Honda), was to  be online 40-60 hours per week."
3555,3.0,"Chicago, IL",2017-11-27,"Discounts, meet new people.","Long wait times, not fair compensation.",2,,"As a part time gig bringing in income you don't rely on, it works. Most people I expect cannot turn this into a viable full-time position though. Cost of running and maintaining a vehicle should be kept in mind."
3556,5.0,"Griffith, IN",2017-11-27,,,,1,Its a great place to keep me afloat until i find a new permanent job. Its is hit or miss but with a bit of intelligence and wit you can fid out where the good areas are to get rides.
3557,1.0,"Des Moines, IA",2017-11-26,Work when ever you want or need to,Low Pay,1,,"I have driven for over two years for Uber and it was a great place to work when I first started but lately, it is not worth working for them unless you like making less than minimum wage after you figure in depreciation of your vehicle and gas"
3558,1.0,"Brooklyn, NY",2017-11-26,You get to work when you want to!,Clients/riders complain about the dumbest things,3,1,I Hate the fact that someone can complain about something and they are automatically believed before confirming with you! The complains only come in so people wouldn’t have to pay for their rides!
3559,3.0,"Brooklyn, NY",2017-11-24,Flexibility,"Lack of advancement, no paid vacation, no 401K, no health benefits or dental plans",2,,Uber is a great company because it provides with flexibility but financially it has taken a toll on me especially since I rent the car from their partners and I am responsible for tolls.  You must also take into account that I am responsible for the provision of gas which is another expense apart from my family responsibilities as well as bills. Uber makes a great part time job but has failed for me as being the ultimate fulltime job.
3560,5.0,"San Jose, CA",2017-11-23,,,,1,Excellent working in this company. They help me a lot in exchange for the hours and the days that i want to work. The support is always there 247 to resolve all issues that a driver might have.
3561,2.0,"New York, NY",2017-11-23,make your own schedule,uber doesnt support their drivers,6,,when i first started i was making a lot of money but in my second month i changed nothing about how i worked and wasnt making enough to cover my vehicle maintenance cost and bills.
3562,4.0,"El Paso, TX",2017-11-22,"Meeting people from all over the world, very satisfying, very easy","Wear and tear on your vehicle, throwup in your vehicle, no hourly pay rate, Uber doesnt withhold taxes",,,Working for Uber is a lot of fun. You meet people from all over the world which is fascinating. Work when and where you want but it is a commission based job. Its really neat to help people get home safely without needing to drink and drive.
3563,3.0,"Boston, MA",2018-12-11,,,2,,"Had to write this in order to move along the process,It's Uber, get what you put into it, compensation was ok, some weird passengers, most were very nice"
3564,5.0,"Savannah, GA",2017-11-20,,,3,7,"Easy work, easy money, easy to get paid.  You get to drive around and meet some of the strangest people out there, but some of the nicest too.  Always someone to talk to when you're out there."
3565,5.0,"Boise, ID",2017-11-20,,,1,1,Performed Driving for Uber. It was an easy job. I made my own hours so I worked as many as I could. I didn't get any benefits and it was a short time job. I liked the job.
3566,4.0,"Dallas, TX",2017-11-18,,,2,,Flexible schedule is nice when I am impacted by seasonal work slow downs.  Downside is that it is tough to work peak hours as a single parent with my elementary school age son.
3567,5.0,"Fort Mohave, AZ",2017-11-16,Fun,Slow,,,"The customers are fun, the pace in this area is slow. Should you consider this please know you need rideshare insurance & need to really be aware of personal safety."
3568,2.0,"Los Angeles, CA",2017-11-15,"Make your own schedule, some nice people to talk too.","dirty people getting in your car, rude customers, low pay",2,,Nice to make your own schedule but not paid enough. The rates are to low and not worth driving sometimes. I wish I was paid more for the amount of miles I put on my car and sometimes the people that I pick up.
3569,5.0,"Los Angeles, CA",2017-11-15,,,,,Working for is Uber and UberEATS is awesome. Having the opportunity to be with the Uber driving partnership has been challenging and marvelous. Thank you very much.
